Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Kylian MbappÃ©,Right Winger,19,Monaco,Ligue 1,Paris SG,Ligue 1,2018-2019,120000000,135000000
Cristiano Ronaldo,Centre-Forward,33,Real Madrid,LaLiga,Juventus,Serie A,2018-2019,100000000,117000000
Thomas Lemar,Left Winger,22,Monaco,Ligue 1,AtlÃ©tico Madrid,LaLiga,2018-2019,65000000,70000000
Riyad Mahrez,Right Winger,27,Leicester,Premier League,Man City,Premier League,2018-2019,50000000,67800000
Alisson,Goalkeeper,25,AS Roma,Serie A,Liverpool,Premier League,2018-2019,60000000,62500000
Naby KeÃ¯ta,Central Midfield,23,RB Leipzig,1.Bundesliga,Liverpool,Premier League,2018-2019,65000000,60000000
Fred,Central Midfield,25,Shakhtar D.,Premier Liga,Man Utd,Premier League,2018-2019,32000000,59000000
Jorginho,Defensive Midfield,26,SSC Napoli,Serie A,Chelsea,Premier League,2018-2019,50000000,57000000
Fabinho,Defensive Midfield,24,Monaco,Ligue 1,Liverpool,Premier League,2018-2019,45000000,45000000
VinÃ­cius JÃºnior,Left Winger,18,Flamengo,SÃ©rie A,Real Madrid,LaLiga,2018-2019,35000000,45000000
Malcom,Right Winger,21,G. Bordeaux,Ligue 1,FC Barcelona,LaLiga,2018-2019,45000000,41000000
JoÃ£o Cancelo,Right-Back,24,Valencia CF,LaLiga,Juventus,Serie A,2018-2019,35000000,40400000
Douglas Costa,Right Winger,27,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2018-2019,55000000,40000000
Richarlison,Left Winger,21,Watford,Premier League,Everton,Premier League,2018-2019,25000000,39200000
Radja Nainggolan,Central Midfield,30,AS Roma,Serie A,Inter,Serie A,2018-2019,45000000,38000000
Felipe Anderson,Right Winger,25,Lazio,Serie A,West Ham,Premier League,2018-2019,30000000,38000000
ClÃ©ment Lenglet,Centre-Back,23,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2018-2019,25000000,35900000
Arthur,Central Midfield,21,GrÃªmio,SÃ©rie A,FC Barcelona,LaLiga,2018-2019,30000000,31000000
Jean MichaÃ«l Seri,Central Midfield,27,OGC Nice,Ligue 1,Fulham,Premier League,2018-2019,30000000,30000000
Lucas Torreira,Defensive Midfield,22,Sampdoria,Serie A,Arsenal,Premier League,2018-2019,30000000,30000000
Aleksandr Golovin,Central Midfield,22,CSKA Moscow,Premier Liga,Monaco,Ligue 1,2018-2019,25000000,30000000
Ãlvaro Odriozola,Right-Back,22,Real Sociedad,LaLiga,Real Madrid,LaLiga,2018-2019,25000000,30000000
FabiÃ¡n Ruiz,Central Midfield,22,Real Betis,LaLiga,SSC Napoli,Serie A,2018-2019,20000000,30000000
Anthony Modeste,Centre-Forward,30,1. FC KÃ¶ln,2.Bundesliga,TJ Quanjian,Super League,2018-2019,16000000,29000000
Abdou Diallo,Centre-Back,22,1.FSV Mainz 05,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2018-2019,12000000,28000000
Geoffrey Kondogbia,Central Midfield,25,Inter,Serie A,Valencia CF,LaLiga,2018-2019,30000000,25000000
Simone Verdi,Right Winger,25,Bologna,Serie A,SSC Napoli,Serie A,2018-2019,25000000,25000000
Issa Diop,Centre-Back,21,Toulouse,Ligue 1,West Ham,Premier League,2018-2019,22000000,25000000
Bernd Leno,Goalkeeper,26,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000,25000000
Jannik Vestergaard,Centre-Back,25,Bor. M'gladbach,1.Bundesliga,Southampton,Premier League,2018-2019,14000000,25000000
James Maddison,Attacking Midfield,21,Norwich,Championship,Leicester,Premier League,2018-2019,10000000,25000000
Javier Pastore,Attacking Midfield,29,Paris SG,Ligue 1,AS Roma,Serie A,2018-2019,15000000,24700000
Yuri Berchiche,Left-Back,28,Paris SG,Ligue 1,Athletic Bilbao,LaLiga,2018-2019,17000000,24000000
Alassane PlÃ©a,Centre-Forward,25,OGC Nice,Ligue 1,Bor. M'gladbach,1.Bundesliga,2018-2019,18000000,23000000
Ricardo Pereira,Right-Back,24,FC Porto,Liga NOS,Leicester,Premier League,2018-2019,20000000,22000000
Diogo Dalot,Right-Back,19,FC Porto,Liga NOS,Man Utd,Premier League,2018-2019,15000000,22000000
Alex Meret,Goalkeeper,21,Udinese Calcio,Serie A,SSC Napoli,Serie A,2018-2019,12000000,22000000
Lucas Digne,Left-Back,25,FC Barcelona,LaLiga,Everton,Premier League,2018-2019,15000000,20200000
